Samples,Mode,Type,Group,Treatment,Plate,Experiment,ANPpC1,ANPpC2,ANPpC3,ANPpC4,ANPpC5,ANPpC6,ANPpC7,ANPpC8,ANPpC9,ANPpC10,ANPpC11,ANPpC12,ANPpC13,ANPpC14,ANPpC15,ANPpC16,ANPpC17,ANPpC18,ANPpC19,ANPpC20,ANPpC21,ANPpC22,ANPpC23,ANPpC24,ANPpC25,ANPpC26,ANPpC27,ANPpC28,ANPpC29,ANPpC30,ANPpC31,ANPpC32,ANPpC33,ANPpC34,ANPpC35,ANPpC36,ANPpC37,ANPpC38,ANPpC39,ANPpC40,ANPpC41,ANPpC42,ANPpC43,ANPpC44,ANPpC45,ANPpC46,ANPpC47,ANPpC48,ANPpC49,ANPpC50,ANPpC51,ANPpC52,ANPpC53,ANPpC54,ANPpC55,ANPpC56,ANPpC57,ANPpC58,ANPpC59,ANPpC60,ANPpC61,ANPpC62,ANPpC63,ANPpC64,ANPpC65,ANPpC66,ANPpC67,ANPpC68,ANPpC69,ANPpC70,ANPpC71,ANPpC72,ANPpC73,ANPpC74,ANPpC75,ANPpC76,ANPpC77,ANPpC78,ANPpC79,ANPpC80,ANPpC81,ANPpC82,ANPpC83,ANPpC84,ANPpC85,ANPpC86,ANPpC87,ANPpC88,ANPpC89,ANPpC90,ANPpC91,ANPpC92,ANPpC93,ANPpC94,ANPpC95,ANPpC96,ANPpC97,ANPpC98,ANPpC99,ANPpC100,ANPpC101,ANPpC102,ANPpC103,ANPpC104,ANPpC105,ANPpC106,ANPpC107,ANPpC108,ANPpC109,ANPpC110,ANPpC111,ANPpC112,ANPpC113,ANPpC114,ANPpC115,ANPpC116,ANPpC117,ANPpC118,ANPpC119,ANPpC120,ANPpC121,ANPpC122,ANPpC123,ANPpC124,ANPpC125,ANPpC126,ANPpC127,ANPpC128,ANPpC129,ANPpC130,ANPpC131,ANPpC132,ANPpC133,ANPpC134,ANPpC135,ANPpC136,ANPpC137,ANPpC138,ANPpC139,ANPpC140,ANPpC141,ANPpC142,ANPpC143,ANPpC144,ANPpC145,ANPpC146,ANPpC147,ANPpC148,ANPpC149,ANPpC150,ANPpC151,ANPpC152,ANPpC153,ANPpC154,ANPpC155,ANPpC156,ANPpC157,ANPpC158,ANPpC159,ANPpC160,ANPpC161,ANPpC162,ANPpC163,ANPpC164,ANPpC165,ANPpC166,ANPpC167,ANPpC168,ANPpC169,ANPpC170,ANPpC171,ANPpC172,ANPpC173,ANPpC174,ANPpC175,ANPpC176
QC1,pos,cells,QC,QC,QC,QC,22069.5397,3540.994021,2520.442387,158970.3131,6150048.918,1065302.988,212706.281,80734.12919,1261694.75,70975606.18,2967796.02,728607.879,487788.6044,174263.6009,1446666.807,22794.19335,727329.3276,15247.27793,2382205.359,1668109.262,115514.1146,31840.51152,3259328.534,483648.3428,22645011.18,68305.41668,25874.79275,37453.89678,595259.1896,85558.03421,1020102.632,26687911.02,3159869.845,5426684.16,306963.651,52604.24151,1263133.8,436468.6038,3450949.986,23946.24414,223132.6401,31533.66443,641860.5059,19352034.79,253216.7291,13110.89116,11989570.64,872055.0419,17397.17019,44531.04205,115680.3108,63919.33499,272150.889,27748.37291,284262.3386,391030.9985,6464862.111,193923.7252,194478.0989,233100.1153,6243249.894,90335.38313,278954.2777,20145.00489,1547832.975,39741.92753,13473.07392,29626.26823,514045.2604,53782.37303,157291.1002,442112.764,4653868.186,1010910.882,44465748.61,28409.51131,5958.760379,150100.3125,10864.07524,37919.122,3903296.161,1687841.513,41183.47216,503939.0333,55962.79678,379786.7376,85982.36837,1079128.566,136308.4846,180450.4318,31949.49644,52811.39749,2925471.353,339498.2836,59601.33394,42895.84527,362205.2615,3768.668643,205907.9639,3482045.738,15157.02279,58953.74802,15301.01142,20981.89318,410217.6927,1166539.385,1310382.767,497596.322,201941.3312,1548540.749,416268.5008,58467.2001,23488.22416,2202336.154,249131.2522,29047.48584,5854336.871,69586.55766,6839.562509,24437.75581,15172.88395,103567.1638,28838.28463,80874.24581,15996.91534,1306.127463,16755.02123,67178.89184,48310.66788,217428.5447,53802.93541,11854.35545,75849.93293,182897.0514,15368.60345,8696.490947,56532.28249,625376.8856,33812.16154,13696.27184,239971.2868,257000.935,101660.5554,17694.84579,172434.6952,1297281.791,3531205.958,11682.74518,189260.5987,1648781.929,270745.8124,1826968.448,146177.574,43325.29851,14818.53319,8415.118787,26024.58579,42179.72445,11629.48807,40551.50622,2180764.022,4114270.429,719716.1919,792273.1042,150394.6432,86595.13158,36468.55868,53439.72721,6900375.638,287653.7828,774832.2916,5769474.923,29004.54321,9256104.149,12329.94499,
QC2,pos,cells,QC,QC,QC,QC,20348.64314,4573.65903,2368.948477,139236.4977,6308997.333,1053185.159,147052.5514,74541.35205,1307373.17,73716435.17,2918402.574,764256.4049,400909.8809,131102.0902,1776326.632,19793.2613,750167.8255,14669.43636,2332610.167,1459551.944,111520.21,29396.34502,3101402.4,449251.3968,23248497.83,64529.4335,34252.33473,32836.76667,554833.7778,75233.4913,993692.518,28009985.23,3295070.889,5259171.541,325736.4416,44440.4076,1247914.743,431987.5023,2348602.735,28097.62035,237800.313,28568.44721,651724.5535,19721837.13,256190.0331,7786.564808,12467388.09,853582.2867,16078.76857,38803.29368,77146.15166,65288.13683,278939.867,15475.48629,215490.2953,428014.564,6719068.637,166480.9736,167961.2697,164075.8016,5608836.138,79467.9179,273850.7914,20710.271,1518307.308,41841.35062,13159.36527,29322.31089,509677.2154,40500.96535,142961.5836,435484.5648,4202345.759,694524.4379,46335749.36,26843.56473,8363.326248,104593.0394,279109.2258,26556.30061,4023526.776,1474407.439,32050.88715,510075.7041,54217.25449,403539.7519,58143.27324,774731.5534,70330.20064,191385.89,35307.00825,48113.1,3072836.903,262507.0084,44476.6062,35729.3076,373805.817,2834.342994,190197.8128,3667975.023,11788.71295,63659.55676,14929.4776,22163.72475,424758.061,1059996.492,875524.4825,494978.9561,188993.999,,271802.916,43927.61305,20428.17228,2084042.28,276221.6384,27178.76749,5666893.326,67242.84841,7878.447032,24024.27427,19050.43472,101619.9612,35732.99489,76852.05222,20999.07423,1833.7505,8041.671743,68424.23393,57599.14522,243080.0158,56058.59151,13496.33944,86044.07523,199540.2543,17384.98102,9344.682449,55825.09291,617007.8364,31812.41847,14576.47486,286896.6708,284024.9183,99883.33557,18879.5915,176745.6035,1334633.901,4010861.831,18757.41347,196375.3457,1735705.523,333516.2343,1906036.045,154256.1489,52650.74341,12891.80237,8832.651036,23923.50227,39529.94258,10256.32961,33185.49818,2206651.206,4101761.85,778626.5642,790397.4151,122826.2939,90859.12184,41164.06453,54569.63019,6717173.349,277089.8408,752962.7176,5715535.63,26969.06394,9065657.759,11924.17694,1677.487923
QC3,pos,cells,QC,QC,QC,QC,22748.70744,6123.735554,2396.771769,144396.0659,6468761.092,1150516.875,170068.8848,75681.35105,1356878.136,75246217.34,2997820.786,774835.4357,408524.5713,134035.9599,1841110.939,17569.1169,750423.7095,20966.50776,2426514.512,1518553.521,114908.4876,26279.91922,3189747.6,447433.0091,24158944.34,67855.57002,34026.09875,31560.63803,562111.3058,72863.76322,985463.3175,28710512.43,3327308.52,5471658.803,329794.7256,51076.94862,1291731.953,463486.7735,2366825.109,26574.32939,247606.9872,25221.36208,674832.4964,20210642.32,264593.0229,9464.461017,12645231.24,850777.892,13368.87217,40796.7391,89940.3207,64272.88451,280554.6916,17729.88985,219030.2128,440302.9386,6844086.166,160114.352,162684.6517,155318.9231,5675756.896,78706.53159,276287.6922,16263.00991,1570390.849,44599.51171,12655.83663,31551.63969,515790.0402,40315.95062,156752.8112,461451.6617,4292415.511,684823.0565,46626011.33,28609.50458,6183.915648,103168.0241,278533.0097,29152.82366,4118455.45,1554893.535,36113.37878,518304.6989,56865.97221,396758.4927,55225.92197,798468.7277,70178.67676,197572.9702,40981.96414,55561.74011,3129385.609,254523.5944,48966.64824,34064.90897,379773.6172,3021.459498,205003.7663,3713189.3,10903.82091,69243.74071,15569.40676,24034.39054,445678.292,1085955.113,877745.1818,502750.6557,192260.8697,1541712.496,276250.9206,42351.97324,25507.90594,2158944.631,285883.2612,26597.16968,5740449.688,73436.22315,8037.439446,27004.02475,18528.17173,98963.29762,31964.72358,79051.25005,20031.05158,1969.464952,9611.57714,73921.54578,61965.74413,247419.0267,56077.09905,14403.83343,85318.00996,196803.4775,13927.93912,10466.94575,55376.58168,631486.3051,32795.45302,14552.6403,290421.3868,285370.1031,95175.22582,23160.96799,185389.4513,1367185.523,4150914.657,16948.46704,198020.8801,1754910.638,353670.2779,1948162.267,156737.1321,55218.16036,11248.90742,7532.085947,26015.65363,42806.19829,10134.38819,36569.0526,2156148.456,4334030.018,787415.2807,803901.0006,122930.9286,95691.07219,44005.44115,61252.8511,6800275.775,271516.3694,756716.8236,5766804.157,27530.05518,9188106.931,16798.91143,1068.123861
QC4,pos,cells,QC,QC,QC,QC,26161.84866,4716.686709,3465.022619,163439.8046,6594137.758,1206606.415,229649.0576,79375.52153,1307224.675,75082609.23,3030249.368,772795.7693,419403.6381,141211.3104,1830829.843,22747.97365,769304.294,21231.91211,2522777.899,1498332.66,116941.2437,28035.93993,3251052.209,464982.5792,24487158.45,69549.05687,33433.58778,33203.24694,577671.9159,73792.87136,1018481.13,28942562.04,3391288.398,5496960.089,315937.8444,49060.63268,1312491.929,500241.9661,2414357.416,27377.01714,239545.3553,36631.03661,685288.0191,20602365.75,265913.3803,10288.68392,12962265.1,861930.7419,12498.53519,43206.70367,88985.28906,67568.42686,285299.0686,15880.39168,220914.9393,436807.1056,6863172.904,161921.0344,162553.3635,160344.1292,5741129.032,83682.82408,278306.156,19401.35213,1556272.836,43681.68884,12999.73544,28438.3163,527225.9234,38087.60317,154723.7599,437651.715,4335779.28,693104.5372,46815865.24,20494.86832,6304.145796,104834.5303,288126.1836,27173.09083,4140575.838,1487107.246,36942.33171,548263.5745,55884.9124,404296.3889,53701.1258,802365.2099,67834.97629,193312.3884,33788.07794,50822.1595,3147079.4,255107.6343,47089.57282,32385.24434,387919.8004,2637.904532,206113.8857,3687684.848,11041.46385,66250.89018,15662.86125,19740.04202,448024.7711,1091285.508,867561.0629,500450.6862,227014.1994,,273064.1638,44142.44367,23848.05044,2224819.78,259865.1359,27243.82575,5818967.6,67449.92324,7663.48071,26987.03843,17423.50158,102060.139,31616.62218,73821.59792,22847.2623,2498.97876,8501.84124,75171.2266,57101.02417,236654.1075,56451.3029,15041.96444,85350.33215,209053.3906,19268.93749,9529.739951,62853.57357,634028.2816,32832.49989,16628.59646,307499.7995,305146.7025,103718.6492,19675.22431,185737.6607,1404635.031,4216767.412,20644.82381,205002.5552,1813761.794,362816.8415,2014796.689,169862.9002,55130.94517,12636.77003,6646.948738,24344.09864,46000.8655,10603.74364,36212.77859,2208144.112,4411130.611,821916.4997,837285.3645,127352.2342,91898.11084,43688.15465,58979.23396,6908797.411,283460.3261,778656.654,5863884.05,26833.88284,9271046.172,14516.32824,2649.057385
QC5,pos,cells,QC,QC,QC,QC,28146.18309,2860.468339,1711.587388,142307.4512,6614938.943,1118154.206,155801.6454,79327.02267,1348660.971,75251335.54,2995792,780340.6544,405349.0563,138290.0925,1794096.564,18630.17764,763649.7988,23138.44597,2454125.169,1690784.694,113328.3668,21874.30946,3242671.876,489201.9591,24583709.08,66377.56043,34441.87887,33818.17541,586194.191,76054.89064,1010335.903,29164243.02,3435388.67,5510872.77,334067.1623,41049.09922,1289523.876,460951.8483,2489100.588,33268.89474,248986.4791,32726.84377,669008.0752,20570028.68,262623.977,10956.45998,13001000.94,859925.6996,15724.84953,42781.42891,86177.21391,64957.70909,287785.8667,17525.11347,225683.1815,435653.9828,6852626.254,171335.1443,172402.2053,165468.3602,5741092.719,82338.36047,272608.8162,21564.73547,1581594.758,41214.56409,11675.58095,29199.28198,509745.7171,37588.10749,165946.3915,444665.1011,4272174.047,691265.4779,46514342.79,30688.1381,6613.303591,109091.7338,282896.3956,26319.20467,4171052.161,1554684.607,36025.06894,531715.2573,61662.07471,408032.1311,55954.51494,789776.3787,73721.46876,200049.2936,36794.10829,47897.25211,3184814.923,260764.5589,46280.21406,31948.02963,383199.4793,5080.008255,222406.4785,3672828.647,11872.40092,68413.97695,17131.4379,19776.11527,429394.0119,1078017.84,886416.1823,515403.9891,223777.69,1574750.511,264651.1601,42994.7753,24688.15813,2223827.735,284157.7069,28643.16475,5791141.601,72657.92742,6780.147965,28119.64428,22321.39917,100523.0832,36747.99177,74472.12262,24379.78936,2317.899065,8439.263105,72036.34928,62734.69434,234773.0529,59854.26873,14167.97844,90738.17832,197382.7283,18178.8147,9743.699921,55100.16304,644884.8576,35976.24269,15626.59551,306420.8253,305770.2534,104173.2792,21716.71201,189620.9173,1409631.271,4209933.294,20568.27862,209867.8721,1841388.365,354103.838,2031664.457,156070.9413,52709.68583,14140.12894,7699.579353,26545.42399,44504.62318,9946.871241,36684.80039,2226790.173,4347344.8,831550.8235,838942.1276,117555.4701,89325.10307,45493.29488,57461.18563,6904723.402,288495.7634,762459.2656,5884667.387,27122.17931,9245112.044,16477.24272,1398.721007
QC6,pos,cells,QC,QC,QC,QC,25816.309,2811.076292,2838.551383,141786.3286,6591863.961,1126539.612,157372.6814,61869.30221,1325750.076,71774347.81,2990154.018,760457.7792,418490.3298,145472.2545,1771661.639,33045.29752,735525.7104,22221.94069,2424527.804,1424058.967,111908.6435,33420.41846,3091721.711,453389.3967,24280233.83,72973.0724,28463.26552,40015.10803,578458.0538,74145.47208,1003537.767,27227980.44,3426507.729,5244424.358,322820.0177,42997.72082,1293881.458,507984.8057,2571379.613,27840.71261,242560.3727,31730.80068,675329.3154,20255484.41,258039.1208,8628.509177,12750112.07,812191.0765,16491.14814,37569.50712,92878.3382,58708.2925,283084.8161,18750.59808,234729.9016,386992.9893,6748169.85,163873.0029,164217.8255,174531.8561,5380381.6,78729.73066,253783.0953,17450.43546,1498555.477,46815.68921,11834.4701,30704.02667,481186.066,34718.25396,154656.1248,433606.3122,4082094.401,716501.8555,45243857.18,31579.83624,6152.90637,97350.82693,17173.46389,29150.69408,4068618.392,1418794.056,36156.30037,503732.949,53967.2896,411057.9654,49426.84182,781912.6495,87635.32612,193081.5896,31167.19134,47378.57515,3133830.465,345448.9258,48805.10724,45856.04,382943.2314,3003.407244,184036.1988,3585437.996,11221.2582,66770.33213,15850.8397,19021.77432,420669.1021,1129420.318,932260.4119,490044.3888,181499.5745,1526161.681,288628.8523,38383.13494,22632.95436,2392621.675,265139.1896,30809.33712,5251539.996,71957.99507,9126.808829,27222.92024,16941.8863,101956.3613,20022.88396,78564.6335,55014.3019,415.0858942,10912.27879,76102.53136,61545.25588,217195.6597,57188.81575,11892.79326,92524.66719,163037.5125,11671.11778,8120.016212,54998.9819,621223.5994,32804.23639,14068.13366,232497.9938,264670.1426,94028.50004,18637.88945,171830.3762,1306649.634,3597163.161,48700.0753,200348.0469,1763436.06,260545.8091,1918887.796,158805.2872,54962.74166,13780.4857,8122.461888,25236.56231,43316.46647,10783.44131,34293.82383,2143937.657,4294664.569,821298.3813,796015.4093,112720.1553,83878.28936,39100.77869,51632.05118,6364577.903,273754.8339,727319.8708,5723251.746,27482.20092,8644174.526,13973.60175,784.2701561
QC7,pos,cells,QC,QC,QC,QC,28477.08125,4838.438084,4577.667489,136226.9601,6508169.085,1089194.236,186284.7756,77478.78707,1209994.377,69129089.11,2795846.328,757359.2352,332421.3077,122251.5958,1709203.779,31200.27183,704374.1173,18202.79536,2281679.32,1267845.747,104147.5902,24211.47823,3131624.724,426403.7822,22982518.65,76675.1336,42642.24451,24602.82654,541051.4227,80476.75724,935389.6912,25645457.09,3402647.834,4899655.89,313756.2396,55263.36523,1253727.862,473143.4197,2166620.076,36397.00336,244476.5225,32065.41891,617278.4088,18909025.81,252701.4741,10131.26521,12067064.22,715393.1606,17541.19078,32519.3718,69973.76779,52139.36872,272135.3102,12795.73385,191822.4068,413725.0032,6403378.215,134315.6084,135428.8519,134244.7254,4622714.292,80938.64687,236758.0382,19372.1645,1413957.597,42506.29297,10995.42691,29618.67066,480660.0448,30279.51344,147705.9288,397447.5601,3554118.598,589163.5484,43029744.63,28969.96716,7309.919454,76459.83962,376598.5847,23681.31814,3827078.568,1161583.071,27528.82569,453949.0815,54062.97257,363232.8841,45273.77916,691283.2509,58712.62161,195634.933,32733.22162,43050.51343,3098485.993,201710.4203,36731.16847,24785.49463,350386.1491,3278.12935,195938.6182,3390859.287,11493.9363,66971.86365,15372.37645,19436.68585,411637.0726,892033.4665,692563.8679,479525.8112,167850.2633,1383292.937,208048.1828,36904.17521,20405.54619,2169786.32,254874.6448,35723.92473,5215534.682,66916.6089,6709.705869,29173.06958,17810.32906,88916.56283,25775.54286,74791.14609,30604.32154,2044.767724,10368.36604,72759.72501,57628.97216,221252.7296,56057.34594,12687.33817,87505.96625,178074.2407,18846.21719,8467.827065,50632.72894,581967.7878,31552.20418,15594.52769,296113.4025,292103.5542,96637.17449,19203.34217,167945.7549,1302138.273,4118784.675,22047.69776,181002.2029,1731767.398,345046.1347,1867765.119,150095.3037,54048.74596,14489.57661,7656.951139,26750.94618,42148.68596,9534.102751,30324.63863,1975431.73,4229266.708,851359.512,777279.0042,113441.0577,73469.34851,39384.15807,53637.57579,6028422.498,253603.2386,681112.8589,5262321.435,25715.34872,8343291.619,12931.65786,1252.848479
QC8,pos,cells,QC,QC,QC,QC,27369.69305,6071.340424,2654.684823,116615.5701,6266233.051,1157147.354,179205.7965,70987.25697,1132570.759,71202441.37,2667031.462,729334.957,284863.4277,104822.8108,1570126.916,17522.54023,696741.116,13612.54121,2217770.829,1298511.592,86994.19384,20454.16212,2740490.881,358311.6616,22632786.8,68503.44138,27941.60799,30490.40251,517133.3173,66684.16436,831734.9659,24838662.04,3356961.75,4567281.665,310715.3149,59195.15292,1200607.143,466019.493,1915698.221,32131.28748,221587.5115,27077.74668,605767.2759,18414941.78,247276.0752,6158.34735,11963835.67,659217.4592,16561.43953,28957.45833,62833.98048,52539.3157,258303.599,11938.11885,154045.027,390538.0286,6312810.34,121343.3789,122809.3088,113887.4915,4120709.88,78769.11802,217281.4361,17131.13657,1284458.717,43966.90639,9778.471467,26357.5358,457827.2472,25920.574,144761.3765,375567.0785,3155387.659,461173.0253,41887734.6,25167.50839,6539.121227,53396.5683,457053.8972,18993.14797,3773460.743,942778.4604,23672.10446,432135.0551,46958.34337,366534.1829,37993.62616,583762.2294,45843.1054,181646.4549,32121.63442,34767.79699,2908810.855,159283.3002,33646.22988,21127.11811,347900.1625,3645.834151,157000.705,3338267.992,11907.27088,61924.81501,13728.15317,20760.04028,382406.8858,783788.1794,597573.1736,461384.3463,199476.6261,1357500.351,165157.4439,30097.22095,20100.21424,2052928.38,215163.4295,33960.05143,4865282.429,64193.27719,7754.717711,29556.57394,20937.13729,89456.30208,36515.43217,73768.3479,28290.41222,2248.368429,9341.642973,68310.198,55216.87674,213931.8025,56502.92427,13808.96576,93675.8275,184840.0689,19520.36443,8858.921834,52151.18966,560861.6949,32742.79587,14426.04889,275533.6461,283663.3927,93898.20714,20836.79492,170797.6557,1244340.963,3936627.525,27015.68848,185105.046,1720250.443,332645.4657,1856106.436,149716.614,50788.66669,13749.3115,5546.330482,25151.96697,38937.57792,8434.19724,30082.79617,1921980.916,4039640.439,869019.505,784850.5192,116306.8751,72392.89442,43351.26211,53373.35869,5609535.804,239883.7543,641423.8914,4857100.146,26861.13626,7842585.122,13562.89967,1526.506679
QC9,pos,cells,QC,QC,QC,QC,22920.33913,4820.224345,2567.584304,106272.5879,5971195.19,954676.8455,137180.2499,70478.24254,1195871.94,63443735.17,2465756.42,668535.0079,322841.633,107580.87,1536286.212,19660.52413,747713.7464,19556.97571,2016717.296,1096934.179,96569.39536,25211.73471,2948605.756,365437.5679,20544956.98,67799.88896,18075.67637,32138.34076,475926.6339,56906.58582,832202.3534,22455616.05,3091954.559,4436937.52,266952.287,55056.8968,1093578.344,454302.1831,1962087.762,29243.67523,232490.4907,32011.19128,572082.0438,19296881.31,232260.827,9499.222028,10792816.6,625837.726,15991.90245,36921.8494,69831.72034,44159.28443,259088.5178,11304.28072,163065.7953,349912.4092,6022441.263,125244.4834,127465.1207,126989.559,4515893.762,73173.99228,208334.7943,19216.18348,1314783.311,38072.47401,11817.91346,23200.2798,455586.4653,29470.7094,128150.6991,361178.9444,3264532.48,517147.7001,41488542.9,25681.02346,6107.789534,76400.24002,301141.4069,18484.8999,3680165.198,1110682.984,25964.22551,398916.1463,50026.24247,355104.4147,42920.60983,629144.9414,52712.75477,181763.1872,29177.05934,42929.16218,2921633.67,186814.4652,35237.52731,25768.55027,340392.1916,1663.720623,179984.7376,3510640.315,11227.51411,67493.98563,12244.74632,15867.02815,366390.6648,779818.4726,652757.8392,430971.7455,156454.035,1281896.699,189687.0471,32945.37289,22658.44691,2109170.971,212046.9717,34573.58162,4253768.647,63645.49941,6715.357938,27127.46099,17145.19165,87169.92004,21998.98095,82728.17324,31794.93597,,8527.970603,54605.77717,51954.71282,200117.6565,59734.55456,12698.09289,106750.0252,147178.5934,15276.65919,8886.409539,43882.27958,552433.5989,31024.00017,10692.86314,267614.7514,243235.3157,88209.97634,18421.85946,157072.9067,1197808.006,3697263.612,25069.96242,153769.3541,1558120.768,308674.5027,1674649.119,141795.4173,47980.31253,13004.47999,6783.275053,23500.87891,36856.62071,7902.335885,31065.60853,1712543.324,3884878.796,821544.5108,693950.0214,108714.1371,72627.51786,33759.90806,49032.52758,5536880.073,230382.2048,621509.9871,4732347.473,21008.17659,7476025.968,11069.19559,2882.43971
