Samples,Mode,Type,Group,Treatment,Plate,Experiment,ANPpC1,ANPpC2,ANPpC3,ANPpC4,ANPpC5,ANPpC6,ANPpC7,ANPpC8,ANPpC9,ANPpC10,ANPpC11,ANPpC12,ANPpC13,ANPpC14,ANPpC15,ANPpC16,ANPpC17,ANPpC18,ANPpC19,ANPpC20,ANPpC21,ANPpC22,ANPpC23,ANPpC24,ANPpC25,ANPpC26,ANPpC27,ANPpC28,ANPpC29,ANPpC30,ANPpC31,ANPpC32,ANPpC33,ANPpC34,ANPpC35,ANPpC36,ANPpC37,ANPpC38,ANPpC39,ANPpC40,ANPpC41,ANPpC42,ANPpC43,ANPpC44,ANPpC45,ANPpC46,ANPpC47,ANPpC48,ANPpC49,ANPpC50,ANPpC51,ANPpC52,ANPpC53,ANPpC54,ANPpC55,ANPpC56,ANPpC57,ANPpC58,ANPpC59,ANPpC60,ANPpC61,ANPpC62,ANPpC63,ANPpC64,ANPpC65,ANPpC66,ANPpC67,ANPpC68,ANPpC69,ANPpC70,ANPpC71,ANPpC72,ANPpC73,ANPpC74,ANPpC75,ANPpC76,ANPpC77,ANPpC78,ANPpC79,ANPpC80,ANPpC81,ANPpC82,ANPpC83,ANPpC84,ANPpC85,ANPpC86,ANPpC87,ANPpC88,ANPpC89,ANPpC90,ANPpC91,ANPpC92,ANPpC93,ANPpC94,ANPpC95,ANPpC96,ANPpC97,ANPpC98,ANPpC99,ANPpC100,ANPpC101,ANPpC102,ANPpC103,ANPpC104,ANPpC105,ANPpC106,ANPpC107,ANPpC108,ANPpC109,ANPpC110,ANPpC111,ANPpC112,ANPpC113,ANPpC114,ANPpC115,ANPpC116,ANPpC117,ANPpC118,ANPpC119,ANPpC120,ANPpC121,ANPpC122,ANPpC123,ANPpC124,ANPpC125,ANPpC126,ANPpC127,ANPpC128,ANPpC129,ANPpC130,ANPpC131,ANPpC132,ANPpC133,ANPpC134,ANPpC135,ANPpC136,ANPpC137,ANPpC138,ANPpC139,ANPpC140,ANPpC141,ANPpC142,ANPpC143,ANPpC144,ANPpC145,ANPpC146,ANPpC147,ANPpC148,ANPpC149,ANPpC150,ANPpC151,ANPpC152,ANPpC153,ANPpC154,ANPpC155,ANPpC156,ANPpC157,ANPpC158,ANPpC159,ANPpC160,ANPpC161,ANPpC162,ANPpC163,ANPpC164,ANPpC165,ANPpC166,ANPpC167,ANPpC168,ANPpC169,ANPpC170,ANPpC171,ANPpC172,ANPpC173,ANPpC174,ANPpC175,ANPpC176
T1_P1_D1,pos,cells,sample,drug,p1,t1,34847.64149,4779.614389,2485.36096,160137.1468,8782530.847,1208725.135,207440.5555,73111.69209,1809702.851,68266499.41,4101055.502,1024476.548,323258.4476,70595.81851,2210344.876,20064.24691,750059.8836,16294.99523,2659646.213,1846383.289,122434.9337,22781.8517,3994461.179,461717.8351,31309555.22,91887.47978,24334.67958,43866.80421,623455.5323,79710.54098,1395941.454,28150352.38,4025418.684,5960269.428,379514.9187,34542.78089,1981497.213,426168.6803,1033281.983,39923.83997,484357.8023,43198.58055,923853.3436,26104414.69,335462.5206,9610.532286,14945572.88,895444.7991,11572.26454,44595.26473,78484.96158,79492.22798,358539.5599,18342.48458,246451.8881,802234.4469,9673724.097,64156.4403,177325.3919,143123.5356,5771299.944,129244.2806,177214.4129,21189.0682,1468113.305,52518.61733,11979.57652,29332.33608,596006.5921,31435.25418,233103.7123,606803.3151,4455884.085,583175.0803,68852335.48,33459.94388,16819.01288,103371.7291,469378.2829,27550.28044,5804927.113,1398673.101,34256.37781,2132488.101,71070.45425,862192.9761,29467.16911,846902.7433,44376.22639,326858.7433,38412.47707,49302.68626,4227069.638,138886.7282,16203.12328,19823.50867,490391.8031,9735.330305,211918.4615,2216750.039,12817.82869,87125.36503,25082.8724,23427.4187,493805.4652,1605464.928,320929.9811,438443.8972,202187.8938,,85501.33163,30465.07135,33498.93901,2274400.927,279228.6111,28202.15817,8876514.529,87092.39663,8308.644637,27772.51893,16903.97484,138881.8968,25930.75987,87958.5462,32981.15511,1870.605451,4812.905936,67795.35518,57231.71668,326531.0742,78570.65745,12064.43513,104618.1234,138149.1719,16226.70424,19904.884,65316.53408,536062.9266,43715.05558,30467.23335,644096.9145,569194.5672,133021.0011,38694.40017,248867.6643,1668788.717,8408096.92,27924.41135,357227.2663,2520761.305,662339.6818,2303376.249,176009.1837,52390.98004,16980.80296,13128.88706,36313.01714,73997.85159,20759.80969,43609.60101,3207508.947,6326255.451,1420699.663,1243751.947,194752.0787,151265.6427,39008.53283,142649.5204,10410481.59,433101.5556,1167992.548,9231226.888,38585.70952,15950792.97,27497.37108,8813.07154
T1_P1_D2,pos,cells,sample,drug,p1,t1,36004.02638,5301.717533,4011.489123,152287.4215,8582868.485,1286255.174,225962.124,69347.2005,1762891.08,89317582.43,3829322.747,1017072.283,460871.968,106358.2327,2207375.462,21877.17601,722689.7003,20330.65312,2533777.261,1988967.092,132865.2524,24975.13121,3918056.095,511266.1,30209445.73,93587.82713,25504.99168,26003.10513,671094.169,99527.56115,1293958.215,29890192.22,4218550.081,6246714.509,363989.1822,63716.18614,1749664.834,489848.1685,1969921.901,44366.00763,427011.2677,54307.28232,919699.0388,23944644.55,314091.1159,7524.596383,15101283.68,821283.9678,22031.89109,42289.00868,75573.39212,74104.95676,385791.8535,12856.50157,226215.5729,733099.0218,9360084.85,146191.2504,147133.629,124016.0411,6210528.169,122575.9816,361268.9912,21467.18282,1939636.609,55378.1822,11871.91346,38082.66513,565557.9304,32056.44461,244136.8635,573624.8577,4744778.96,512330.3816,62715623.05,28509.49282,17196.38574,115127.0275,407030.9648,35688.41508,5768546.378,1560023.351,39160.16364,1093150.491,66267.44738,725370.6074,34761.93648,858630.3696,51568.50852,301816.2456,41505.35655,65736.0587,4708760.258,222861.213,35237.35849,28251.40058,509809.5355,10664.66474,191713.8415,2622473.448,14342.89602,91683.85712,24934.73872,30853.03029,513430.8145,1408757.41,608955.7295,609955.8869,245659.4344,,197217.4896,32509.24681,32434.39189,3105155.815,313895.7137,15980.91405,9138641.857,124226.7957,9531.120863,36917.5306,29113.94488,129887.0501,37558.41534,90123.75961,45088.23142,2156.650934,10060.10331,83995.10842,79784.07605,360508.5109,76331.86317,18390.67183,102487.3641,236835.8057,22962.47875,18893.46642,84608.52389,772800.4488,49392.14133,26846.05145,563134.3817,517985.2847,131975.9251,38570.71572,321763.123,2146862.691,7584651.597,38525.62982,381310.8563,3359483.82,560336.7592,2854533.498,262685.4587,84220.71833,17176.527,9449.216816,35743.79386,68163.97533,18503.2406,42756.08131,2894968.475,5831446.959,1025794.249,1183611.082,217415.9599,44295.503,53694.73433,111446.4985,13760221.06,556416.5975,1498768.787,12120704.17,41888.73396,21552929.64,22498.76312,5297.279737
T1_P1_D3,pos,cells,sample,drug,p1,t1,41776.52345,8000.459496,3644.38002,140867.3437,8687582.349,1284089.666,210832.3322,86891.60054,1603208.01,92092951.7,3765279.792,1003436.753,719060.327,211288.2561,2174105.808,19764.87624,721635.9875,12141.77112,2920818.16,1900129.666,137580.4004,34323.86881,4023994.024,582342.0796,29914781.03,83737.76045,28382.27543,39321.38504,807229.4773,96178.45938,1278098.946,30257702.76,4603522.605,7150353.223,377206.276,61150.80777,1596978.106,517789.548,3399935.125,40706.35605,382560.1742,41651.65101,843992.0053,23367083.45,349145.3395,8524.789833,15840516.79,866452.3109,25442.68513,44251.29847,103502.4948,71893.52659,378523.4929,16681.568,272005.3773,690482.2113,8987626.368,173399.7838,175645.5492,144410.2062,6596298.037,115799.0353,410411.4713,21365.70784,2567003.111,56415.179,16079.1492,49175.69101,637868.1879,39364.67826,248480.3463,429086.4155,4927569.218,628797.1354,58392771.66,32025.64016,12549.14324,127937.21,358213.1867,37191.23704,5580026.063,1672641.583,40969.28831,441695.6095,84350.78909,551610.4961,71541.01042,912331.6659,80596.24343,299615.7918,38981.0739,76209.48031,4655216.901,454511.1404,69091.42872,50263.44554,478909.596,7022.754924,214930.3276,3479478.965,14843.07738,84214.64259,21442.15204,32991.77878,609828.6134,1747606.544,1083563.785,843544.2656,212333.685,,507415.9332,43563.96793,30873.44084,3310109.704,267852.5483,38546.41412,9249558.988,78743.72738,15005.45019,46528.13353,32900.10272,124508.2919,46238.40611,110682.5741,26502.56757,1262.603622,15371.11342,115729.8146,70023.50136,386188.5838,62739.13135,23396.94585,96581.77386,380823.4581,34291.27991,14649.89627,98555.00285,928412.0674,43800.57489,22992.65668,492944.6308,457186.2177,152693.6646,37690.20147,320387.5361,2086456.681,6927855.135,32669.12958,308422.9529,3436571.383,538226.2831,2662013.493,306203.1044,88509.19428,13195.66648,8681.041375,31973.05249,62475.60964,16966.75347,52552.22555,2586070.887,5553127.628,866749.3596,1154023.293,210065.2658,150845.5987,58665.09938,83586.49868,11494462.48,479170.1785,1292842.772,9784206.736,39430.22276,18573988.7,20100.09663,5015.886215
T1_P2_C1,pos,cells,sample,cntrl,p2,t1,30891.60577,3262.724169,7274.446187,202283.1526,9364819.362,1549671.247,238883.613,70006.02515,2066000.543,133204045,3741800.989,1151121.284,920200.454,578041.2711,2010014.173,27531.52287,444534.0728,18927.24467,3106540.359,2268785.613,136142.0326,36963.00074,3906316.99,1042112.754,34531794.34,92520.40612,35418.14374,51210.2312,889041.3946,70058.26321,1366672.803,37630561.38,4548159.131,7373837.521,522401.544,150151.3553,1161376.404,1058627.156,8217537.555,63524.48471,327182.6614,38299.51251,915977.4243,24749771.93,301904.9105,17959.33937,13122292.43,964237.6477,41438.57594,47744.0951,161962.2043,71272.89151,397913.142,59301.47411,358013.5471,583049.8622,10466133.83,277972.8415,325185.2136,383393.6996,7247012.423,120878.3197,746932.8252,22598.7759,2820728.856,52878.57447,32754.1636,34049.86767,584029.4768,51696.52185,196842.0349,434302.9079,5161337.85,1748418.059,64587505.11,43693.42219,8516.185082,116330.699,398941.529,35061.2679,6540916.111,1646704.981,34708.90477,299441.2776,190030.2042,613098.7511,77912.84538,1117143.104,153316.0813,277479.8751,47894.61716,92511.2047,6047383.801,607025.0443,214696.1319,69655.8425,775250.01,6121.150414,310269.7746,22214333.53,23926.39507,102424.8048,31728.83454,40683.63694,450891.7047,1151198.391,2818791.562,718044.9097,237571.1939,1758336.966,847040.2894,66574.64677,30612.65481,3343107.395,267725.2006,5129.255302,7119879.028,70131.44694,21431.45753,108356.9953,84546.61447,152580.0176,313515.2542,75605.29548,29396.02531,17038.40496,31814.40068,109176.4281,84790.79068,475585.1272,81119.37828,67365.20469,115059.4253,1026077.469,74047.26313,15920.87661,75871.99569,633395.2023,50623.77439,23960.16645,350734.7754,375348.839,112780.8109,32330.18146,297733.3152,1873296.388,5418543.36,28340.36367,301906.2102,2936089.054,403551.9469,2259449.926,198274.7852,40519.93425,19374.73363,10784.32751,36861.43461,49127.68833,12625.13373,51874.46283,3144457.95,6013600.23,1075770.465,1287310.022,172055.855,43892.70205,86470.21007,67522.67757,9905121.463,432734.5907,1043123.423,6613618.427,38309.76418,16609848.05,21069.10523,5903.512968
T1_P2_C2,pos,cells,sample,cntrl,p2,t1,26485.17792,5497.076579,2963.678583,162628.2371,7626655.126,1239328.436,228750.451,63292.27714,1801128.552,90796898.46,3043013.9,971763.7783,402870.4251,238621.8015,1746417.445,24585.11712,403754.6917,19258.21292,2453747.68,1794256.273,116612.2306,32394.43684,3122012.087,593022.0421,29871952.75,83124.45849,31131.78368,40736.79763,688117.1908,79942.19557,997844.9727,29431149.83,3622665.384,5425583.005,432293.7744,58293.70659,1055699.655,1026980.008,3774226.515,44820.39462,288093.3633,30478.34897,696749.0588,21804601.38,265811.2637,17197.15088,10758479.84,796685.002,29157.7935,36148.05819,122279.2935,63197.70645,300639.5376,47730.0194,322205.2819,515706.8526,8857902.523,265574.2939,318841.0334,332198.7023,5336348.554,105817.1373,489335.5592,18536.94658,2041540.475,48962.69965,19838.6614,29827.24762,513859.1636,39778.91176,161823.0176,322690.7754,4064790.879,1501900.769,58928276.48,30824.28657,7508.61203,90247.44216,462814.7524,31864.84895,5024656.957,1197399.367,28059.54401,1421882.805,135888.9506,538700.88,26874.21688,904195.8376,73635.43466,228140.6595,40114.61106,51390.22595,4810114.708,233046.4468,78773.08977,29355.66259,648457.4541,6137.674439,301383.8884,15629001.93,20492.59291,84338.35003,22834.60914,25644.29083,381271.0162,755971.6387,1206315.506,502061.7678,240869.958,1663122.759,279394.397,54839.15959,28127.80545,2719359.222,299658.693,4036.182285,5666630.485,60997.66751,12015.01848,62207.06784,56041.89162,121665.3644,89397.16656,72947.93598,39240.07266,4999.104665,6452.01123,65717.19514,73208.61741,361676.3307,94986.01986,36707.68068,125711.7602,519205.3749,38925.11693,11264.0667,62700.94119,515300.7116,55163.19631,20234.29536,342862.5254,336716.0246,63822.48322,28374.56458,224497.1744,1744514.271,5125924.788,26594.15689,253992.2646,2318599.41,399974.1218,2422887.271,173351.4801,57128.66702,20945.90133,9266.335647,30668.25987,48182.43779,10222.91131,35545.30314,2519157.219,5263838.193,1010494.952,1117441.954,157447.0586,94183.35826,48167.91666,76810.56051,10905564.94,440779.936,1137469.168,7168862.565,33639.03168,18377919.99,19692.86143,5607.431922
T1_P2_D1,pos,cells,sample,drug,p2,t1,33317.87865,5162.046235,3106.416439,188709.6381,8296561.019,1298796.274,199800.6995,79560.14784,1639560.052,100921211.4,3698031.133,973794.6373,557083.9482,179195.5267,2175952.699,25910.57582,617537.1017,17218.59502,2730153.394,1846287.914,140784.2147,36133.87455,3857647.233,548997.3492,29084695.01,87646.73083,41696.94235,35879.52403,695239.3521,89642.93252,1219512.624,31717897.43,4436155.618,7113018.719,362000.6299,91833.52047,1459552.726,428463.8711,3366163.828,41603.75893,358073.8828,44878.81207,860819.6197,21559404.95,290735.8434,7700.498196,16005346.47,897466.2109,22919.70575,41960.8186,103267.0506,68877.85731,355899.0007,11343.30763,224506.0112,685098.4294,8708341.857,160706.8058,165198.946,123720.4934,6492135.421,106708.7157,448260.3926,20286.16877,2446177.998,53688.42327,20948.34814,40402.52998,549254.1405,35946.01331,233311.5958,498085.5833,4807514.102,524587.903,55687327.51,31761.97771,9867.080646,107750.5379,462028.2671,36428.51023,5170596.734,1610896.308,36223.20289,219539.1684,69629.01851,489812.486,92670.69582,849418.1353,75457.28336,266360.892,39757.48267,68970.754,4626861.827,293665.027,54563.30884,36999.0603,486505.8598,5209.720624,223059.2199,3433404.158,14376.67514,83492.01183,21646.02655,37736.42051,519876.0095,1442249.982,1116080.755,796079.277,242037.7679,1794625.006,363238.3253,36856.14351,28549.60681,2894857.64,263583.6845,21518.7776,8510677.008,102212.0864,11062.32143,48646.54038,30001.46473,112263.2179,78758.60557,121748.0637,26546.08809,4115.927998,23361.61107,112305.4567,80602.47559,361566.3093,65909.39958,36775.94265,99756.26825,482891.4361,43588.49387,13118.05627,107952.0806,805302.2209,53592.86327,23257.42879,445808.2118,421046.9428,150468.4383,32255.56988,364277.6197,2488301.258,6174852.406,37677.82321,363700.6819,3942273.507,495201.2039,3009660.448,341392.4809,77628.92837,15256.81551,9084.435411,32525.24951,53690.2881,14056.54485,48374.42168,2566396.063,5188130.58,887883.5204,1071519.565,184943.2131,210980.1058,59424.87622,74354.34765,11970668.37,497173.9543,1354301.304,10691944.06,35200.03975,19131131.58,18298.39967,3934.026252
T1_P2_D2,pos,cells,sample,drug,p2,t1,40867.0026,4648.369477,3051.167485,179968.2036,9723630.472,1356078.564,230892.0085,89184.54184,1986581.928,87057909.01,4300338.463,1103110.668,400562.8838,159615.5827,2345458.747,22361.52774,779570.9908,17245.52566,2979688.569,2077085.66,130602.6468,28738.22345,4570239.942,572215.0062,33042341.56,118191.7079,29049.00027,48422.75078,757939.4985,70456.56917,1559182.108,31619597.09,4661847.203,7152175.388,411277.2741,80354.0185,2010064.221,436632.8546,2172090.534,42231.88204,530299.8287,30678.7338,914530.1443,27245521.78,314882.9109,9461.261693,16822382.33,959902.4686,17894.31446,49315.87035,111046.4865,101483.9496,408590.8832,46017.7812,362897.783,863344.7713,10840236.55,306178.2485,306690.5293,159709.7234,7033501.618,147262.2148,331127.3288,25349.94438,2021332.086,58522.50943,19983.8557,43188.76855,585198.1203,40987.31496,285794.8925,557489.1171,5251792.651,711702.3289,71584421.85,32635.13035,18909.76292,148483.8888,479598.1645,35423.95865,6454300.299,1708005.88,38304.04871,1584109.957,72647.76812,665580.1408,55561.55494,1025605.606,70636.61703,342197.9613,40681.44761,59624.42185,5006075.963,195819.3226,46803.46127,24387.10668,543629.9363,10437.75812,301279.1656,3065523.402,14583.06935,91412.68015,27041.91908,34444.68875,557654.6227,1070125.76,653649.0498,624971.4522,271075.8913,,178510.6422,44375.97821,34240.63519,2954730.784,279963.3745,7239.364521,10542141.46,69270.79182,8598.042597,40880.16477,28824.52598,148292.8247,23712.82787,92302.94143,30840.08477,1092.330209,7448.272017,78135.52818,65871.27702,428420.8465,74367.99253,11105.56501,99430.49168,150837.0491,16949.19331,22851.86472,81967.74836,733861.6084,48226.03745,35411.62803,563270.054,532924.7098,177706.8179,40434.85109,291174.0964,2241944.823,7622643.51,26943.59651,352769.7383,3024592.973,591147.2288,3112705.622,250392.0839,77910.12784,21143.80332,12827.97955,40721.65898,73757.05629,21393.15756,50905.99542,3585889.666,6789091.044,1347197.817,1361247.76,202704.7019,126204.7728,70166.11948,109614.8093,12852671.66,521755.0346,1429666.695,11833142.26,45421.63941,19420725.38,29527.98031,9154.872751
T1_P2_D3,pos,cells,sample,drug,p2,t1,36845.1585,5859.041725,3480.416886,179347.0388,8171737.194,1145513.131,179644.4056,65056.40606,1621997.378,70359646.71,3641815.934,967574.0635,287024.8743,85490.88697,2130976.7,24504.67951,752403.2773,18811.72226,2451884.178,1584443.572,118075.6727,18909.68643,3712342.613,438058.5067,29138060.28,84256.38292,31740.33375,35033.05722,590145.5739,79268.85292,1224171.863,26768911.94,4130746.986,5841319.289,334449.8179,45307.76745,1780766.991,520701.7327,1399002.787,37639.64631,392315.1798,37479.0045,776390.719,23917830.45,269357.2692,7816.895617,13730546.55,842844.014,13178.64291,45466.14051,85026.1703,84647.32959,338040.1554,26929.38724,249698.9232,619828.8278,8958685.184,209440.7695,212299.6042,136753.6588,5777879.213,106375.4617,228249.6577,19177.86134,1474524.095,51230.89336,10513.55509,26751.23086,490137.6355,24968.58123,201826.3989,529147.5171,4469448.016,567854.6674,58053121.47,33400.86455,12310.70931,123797.4956,431331.6702,26771.15227,5113527.99,1489821.717,36237.87697,1436453.387,54079.29947,652218.2636,29306.43238,812333.5735,44503.57057,273419.9511,35266.67947,41671.5472,4020268.818,133759.3093,23389.12023,17114.64419,475835.6412,7465.5379,267788.6226,1882715.362,12193.55001,88924.01377,20809.75344,18941.55798,490073.8583,697238.1155,383646.8745,441847.5833,206131.4641,1778424.19,117508.6425,28995.5157,25005.31353,2506805.905,305920.2958,6084.046614,7636627.017,93069.50402,6964.227533,23881.19134,15944.37727,119159.9937,26244.36231,84478.67624,29333.40802,629.6289735,6809.896996,80425.19654,54205.92252,274513.8999,85483.88115,8195.487452,116620.4165,117842.8948,11627.30036,13935.21388,66612.65496,721614.3465,51568.81762,26873.06803,409052.4436,380722.5318,113604.1963,31052.84116,237797.6735,2054388.171,5715696.072,27946.99348,304334.9207,2543337.954,445752.5019,3153649.168,212205.3372,75424.81066,17439.94131,8372.803164,30927.3891,56476.05267,16668.79616,32620.31996,2600754.409,5340325.993,1099242.318,1042043.234,154079.5316,112777.4954,69024.48637,88320.61413,12376658.1,515809.0102,1384596.781,11027962.87,37036.5539,19427932.86,20400.89047,5064.766804
T2_P1_C1,pos,cells,sample,cntrl,p1,t2,28604.14483,5809.238859,4795.524481,259721.4323,7315763.156,1349305.708,215089.5134,77096.00239,1350488.351,122470225.5,2484241.734,884337.1986,1140065.09,789968.1245,1881800.633,29653.16499,915853.3023,12532.84972,2797117.082,1704868.188,127867.5572,59857.21764,3233994.567,745108.4737,27839694.07,84940.38529,35568.01197,88742.2498,865214.7701,99361.11246,905129.9926,29853017.66,4306295.016,6150884.313,443141.2301,137353.5549,853597.1365,527247.0538,9859584.074,48088.86092,195583.7911,43858.08344,572694.9416,20696706.05,276011.396,20106.1682,11002577.82,972926.2346,36387.35698,43367.38068,163237.0506,60533.0284,333182.9588,51618.36795,342316.3236,353975.412,7444686.661,315019.1405,364647.0651,373489.2491,6592203.04,101092.6257,620168.0709,19047.60249,2123318.687,48231.68172,24820.15641,36110.43332,540056.0848,47548.02304,107754.0286,418825.9992,4819160.168,1737001.822,45488033.05,35233.623,4639.141949,93025.01962,321291.9314,21885.71815,4912899.396,1580268.799,32389.21853,633763.6609,108760.0586,262905.6864,36914.6788,865137.6174,161939.4836,156881.8793,49563.92315,89018.21033,4217529.295,794606.5857,303884.8342,87045.02091,388754.6215,2539.417225,301809.4138,12783320.04,15593.98527,81882.61191,15975.94963,24919.69117,469770.0983,1165399.926,3455072.764,454975.7716,226851.3626,1779179.738,1083391.243,91345.33744,23347.51224,2309293.959,280026.6345,4079.695869,3573506.473,87121.31076,24401.74886,94570.38286,47758.04876,138944.7841,418745.3883,70301.50617,37055.52065,24462.53859,5460.516774,59757.18694,74771.67405,366749.0413,94984.53511,70195.63236,126594.7676,929702.9313,64731.1458,7016.768165,59342.02727,781344.9305,51351.3669,12491.99705,245180.2761,250474.3819,106986.3556,16806.46395,188565.412,1847338.002,3145941.587,27572.5236,183291.0856,1964283.147,260796.046,2667464.393,157444.8841,67782.53748,13079.20942,8634.165694,29004.78752,36221.84258,6841.222258,35376.7836,2440190.433,4897460.8,1113150.636,965419.9456,119141.01,56293.52797,82761.3057,44182.95132,10620527.91,413663.0122,1118972.388,7652671.316,34231.13867,16663715.49,15296.24408,2775.64888
T2_P1_C2,pos,cells,sample,cntrl,p1,t2,37320.52158,7159.640674,6887.498878,245428.7923,7599319.576,1357617.94,222604.5609,76852.57201,1534732.06,145711828.1,2645297.953,955880.8524,2023274.421,1253457.665,1998070.322,30762.05681,1114887.799,14432.52408,3022323.074,1924834.106,146917.3401,88527.63741,3285395.128,1212328.849,30341396.3,95386.23947,50626.52216,58869.07453,1061101.053,97258.7868,1049281.614,33154960.53,4290824.987,6195029.307,445199.8429,51602.01592,1062392.826,898843.6892,14824357.97,49505.99483,185294.6097,47737.88657,580141.5588,24189737.09,332552.7425,18877.24445,11498857.17,970271.2432,50351.03494,44281.3544,168703.1504,71145.17105,351637.9712,88453.1482,355217.6981,330781.5627,9196046.264,336646.3335,405331.117,414822.1559,7604413.709,118834.273,958699.3257,21047.97382,2010130.704,52644.90476,19951.79673,32754.75923,632144.3256,59121.2508,152471.2445,436861.8186,5295674.416,1853012.959,45126929.43,37165.09897,3804.511933,160904.751,242742.1593,23031.64235,5438462.565,1864994.823,37882.23378,548604.285,126170.2308,286574.4864,33418.08779,1049104.272,216585.4271,186934.8883,50984.23827,122106.405,4199040.073,1525642.139,489730.112,167711.0498,445696.8117,2840.763086,329161.8006,12700063.27,23249.66098,82940.12717,23040.99528,27240.45578,499272.2958,1943362.795,5356903.463,546938.0641,233705.3814,,2217312.123,123244.5108,25537.08889,2706562.368,269619.7399,3011.46384,5035402.88,89361.66772,33383.88665,125876.8158,59581.07097,169536.987,642296.3208,60888.07456,38452.78479,34819.07914,16356.11858,59905.71656,84941.45581,459612.9381,153937.7922,88187.92497,166936.4356,1144690.902,95715.25545,5539.077272,71281.3201,658398.9105,44656.1457,14153.83917,256599.9116,256782.9567,135645.5602,16247.03451,220702.0275,1783281.005,3215139.11,22985.27106,198963.6891,2078077.911,267852.3258,2393216.736,157890.2905,58773.59981,14695.17896,9079.673894,28758.5134,43892.20984,8805.074717,36844.33963,2672666.977,5647157.66,1024972.207,1122174.909,116300.291,23632.62938,61282.12672,46038.4602,9929657.637,397937.3917,1045144.851,6866699.812,37280.53584,15201439.69,16660.59303,3063.845248
